ability_id,attack_type,damage_type,en
3393762898214912,Ranged,Energy,Mag Bolt
3443309640941568,Force,Energy,Shock
2763158619947264,Tech,Elemental,Welding Torch
3298865595809792,Tech,Elemental,Armor Melt
3328049898586112,Melee,Energy,Melee Attack
3309538589540352,Force,Kinetic,Throw Rock
3746302403805184,Ranged,Energy,Ranged Attack
2919078817693696,Tech,Kinetic,Explosive Round
2115554861121536,Ranged,Energy,Aimed Shot
3148979827114327,Force,Internal,Toxic Spine
3148979827113984,Melee,Energy,Spines
3381883018674434,Force,Kinetic,Pounce
3494303787646976,Ranged,Energy,Spear Throw
2070728287453184,Melee,Energy,Merciless Slash
1782299758690565,Force,Internal,Rend
2765851564441600,Ranged,Energy,Lasershot
2775102923997184,Melee,Energy,Melee attack
3025740035522560,Tech,Elemental,Acid Spit
3391765738422272,Melee,Energy,Ranged Attack
2277586797330689,Force,Energy,Shocked
3765290454220800,Tech,Kinetic,V-6 Seismic Grenade
3356693035483136,Tech,Elemental,Riot Suppression
2539880450097152,Tech,Kinetic,Missile Blast
3765256094482432,Tech,Kinetic,V-6 Seismic Grenade
3261555214909440,Melee,Energy,Sweep
2853760955056128,Melee,Energy,Melee Attack
3685691825324032,Force,Kinetic,Legacy Force Choke
2157349187878912,Tech,Kinetic,Thermal Bomb
2468794446381056,Force,Internal,Infection
2787025753210880,Tech,Kinetic,Smash
3255877268144399,Force,Internal,Blighted
808282780336128,Force,Energy,Overload
3375861474525184,Melee,Energy,Attack
3487058177818624,Melee,Energy,Melee Attack
3025731445587968,Tech,Elemental,Acid Spit
2777469450977280,Force,Kinetic,Leap
948041016147968,Ranged,Energy,Rifle Shot
2308600756175104,Tech,Internal,Bleeding (Physical)
2308600756174848,Melee,Energy,Rake
3072701207937024,Force,Energy,Dreadful Void
3746366828314624,Ranged,Energy,Head Laser Burst
3435853577715975,Tech,Internal,Poisoned
2518074901135360,Ranged,Energy,Ranged Attack
3004235134271488,Force,Energy,Withering Terror
3473881218154496,Melee,Energy,Ranged Attack
2069061840142594,Force,Kinetic,Crushed (Force)
3473980002402304,Tech,Elemental,Telegraphed Strike
2785711493218304,Melee,Energy,Sucker Punch
3447578838433792,Force,Kinetic,Resonance
3303641599442944,Force,Elemental,Spike of Pain
2047741622484992,Ranged,Energy,Targeted Laser
2196476339945472,Melee,Energy,Melee Attack
2857003655364608,Force,Elemental,Frozen Smash
2291936283066368,Ranged,Energy,Full Auto
2196944491380736,Force,Kinetic,Hurl
3481049518571520,Melee,Energy,Massacre
2472427988713472,Ranged,Energy,Snipe
2695096273207296,Force,Energy,Terrifying Storm
2317383964295168,Melee,Energy,Saber Strike
3301953677295616,Force,Energy,Thundering Blast
3062728293875712,Force,Kinetic,Stomp
3289425257693184,Force,Internal,Inevitable Decay
2750402567077888,Tech,Kinetic,Heatseeker Missiles
2535465223716864,Melee,Energy,Guardian Leap
3122432634257408,Ranged,Energy,Ranged Attack
2779204617764864,Force,Internal,Inciting Roar
2777782983590153,Tech,Elemental,Incendiary Missile
2777782983590155,Tech,Elemental,Burning (Physical)
2777782983589888,Tech,Kinetic,Jet Charge
3347321416843264,Force,Kinetic,Telekinetic Gust
3470806021570560,Tech,Kinetic,Jet Charge
2779389301358592,Melee,Energy,Battering Assault
2535289130057728,Tech,Energy,Electric Discharge
3051282206031872,Force,Kinetic,Terror Shout
2776142306082816,Melee,Energy,Melee attack
3033617005543680,Melee,Energy,Spiked Carapace
2765830089605120,Tech,Kinetic,Ballistic Blast
2485458919489536,Melee,Energy,Force Charge
2853992883290112,Tech,Kinetic,Armed
1499136859832320,Ranged,Energy,Range Attack
814789655789568,Tech,Kinetic,Backstab
1492260617191424,Tech,Energy,Carbonize
3230124644237577,Force,Internal,Bleeding (Physical)
3230124644237312,Melee,Energy,Overhead Claw Slash
2879212931252224,Ranged,Energy,Ranged Attack
3765238914613248,Tech,Kinetic,V-4 Seismic Grenade
2518165095448576,Tech,Kinetic,Kick
2522528782221312,Force,Energy,Ball Lightning Detonate
3440908754223104,Melee,Energy,Twin Saber Throw
3041047298965504,Melee,Energy,Rupture
2777770098688260,Tech,Elemental,Incendiary Missile
2777770098688262,Tech,Elemental,Burning (Physical)
2777770098688000,Tech,Elemental,Immolate
3347604884684800,Ranged,Energy,Full Auto
2802521995214848,Ranged,Energy,Ranged Attack
1519185767170048,Tech,Elemental,Cryo Grenade
961093421760512,Ranged,Energy,Full Auto
2508411224719360,Tech,Kinetic,Leaping Smash
2508750527135744,Tech,Kinetic,Groundfire
2766096377577472,Tech,Energy,Energy Surge
813449625993216,Ranged,Energy,Ranged Attack
3378232296472576,Melee,Energy,Rending Swipe
813630014619648,Ranged,Energy,Ranged Attack
2860662967500800,Tech,Kinetic,Jet Charge
2777658429538564,Tech,Elemental,Incendiary Missile
2777658429538566,Tech,Elemental,Burning (Physical)
2777658429538304,Tech,Elemental,Immolate
3724041588310016,Melee,Energy,Force Leap
2454681183846400,Tech,Kinetic,Concussive Wave
3234844813295616,Force,Kinetic,Wind Buffet
3765230324678656,Tech,Kinetic,V-3 Seismic Grenade
1261367470325760,Melee,Energy,Ravage
3321010447188244,Tech,Internal,Stunned
3378193641766912,Melee,Energy,Suppressive Fire
2535697151950848,Ranged,Energy,Ranged Attack
2882412681887744,Force,Kinetic,Wind Buffet
3025744330489856,Tech,Elemental,Acid Spit
3675134795710464,Force,Energy,V-0.2 Rakata Freeze Bomb
2502449810112512,Ranged,Energy,Terminate
2821368311709696,Melee,Energy,Strike
1486050094481408,Force,Kinetic,Earthquake
1953273816809472,Melee,Energy,Cleave
3276755104170242,Tech,Internal,Bleeding (Physical)
3276755104169984,Tech,Kinetic,Retractable Blade
2859078124568576,Melee,Energy,Melee Attack
3395682748596224,Ranged,Energy,Ranged Attack
2506457014599680,Tech,Kinetic,Death from Above
3348695806377984,Ranged,Energy,Ranged Attack
2996396818956545,Tech,Elemental,Self-destruct
3765251799515136,Tech,Kinetic,V-7 Seismic Grenade
2785720083152896,Melee,Energy,Melee attack
3648286955143168,Ranged,Energy,Blaster Volley
3431219308003328,Ranged,Energy,Ranged Attack
2275215975383040,Melee,Energy,Melee Flurry
2786823889748228,Tech,Elemental,Burning
3288905566650368,Tech,Internal,Chemical Attraction
3244315216183296,Force,Kinetic,Slime Throw
3335467307106304,Melee,Energy,Leap
2879303125565698,Tech,Energy,Interrogation Probe (Tech)
3569650398920704,Melee,Energy,Pummel
3506961056268288,Tech,Elemental,Proximity Charge
2624607269945344,Tech,Kinetic,Sweep
3232864833372160,Melee,Energy,Shredding Claws
3648359969587200,Tech,Kinetic,Death from Above
3393724243509509,Tech,Internal,Bleeding
3393724243509248,Melee,Energy,Execute
2762883742040333,Force,Elemental,Burning
2748620155650338,Tech,Kinetic,Knockdown
2748620155650357,Force,Elemental,Corrupted
2289926238371840,Tech,Elemental,Poison Spreader
1678090967187456,Force,Kinetic,Force Slow
3765243209580544,Tech,Kinetic,Wynz-Tek Experimental Shockwave Device
839610271793152,Tech,Kinetic,Missile Salvo
3012717694681088,Tech,Elemental,Volatile Emission
967342599176192,Tech,Energy,Electric Shield
802961315856384,Force,Energy,Madeat1053am
2519475060473856,Ranged,Energy,Hail Of Bolts
2533940510326784,Ranged,Energy,Rapid Shots
3413378013855744,Tech,Kinetic,Concussion Pulse
3473292807634944,Ranged,Energy,Blast Attack
2878023225311232,Tech,Kinetic,Jet Charge
2517112828461056,Ranged,Energy,Power Blast
2810751152553984,Tech,Energy,Probe Scan
2534473086271488,Melee,Energy,Sundering Talons
3441849352060928,Melee,Energy,Overhead Slash
2777697084244231,Tech,Elemental,Incendiary Missile
2777697084243968,Tech,Elemental,Flame Sweep
2878989592952832,Ranged,Energy,Sweeping Gunfire
3462722893119488,Melee,Energy,Concentrated Slice
3343748004052992,Melee,Energy,Maul
811735934042368,Tech,Elemental,Burning (Tech)
811735934042112,Tech,Elemental,Flame Burst
2307192006901760,Melee,Energy,Strike
3668030919802880,Melee,Energy,Bite
3358982253051904,Melee,Energy,Melee Attack
811847603191808,Melee,Energy,Whirling Assault
3014517285978377,Force,Elemental,Expiatory Mote
3014517285978112,Force,Elemental,Expiatory Mote
3409443823812608,Ranged,Energy,Basic Attack
3248777687203840,Tech,Kinetic,Blaster Whip
2263284556235028,Force,Internal,Poisoned (Any)
2785569759297536,Tech,Kinetic,Grav Wave
2062825547628544,Force,Kinetic,Sweep
3675130500743168,Force,Energy,V-0.1 Rakata Freeze Bomb
3569736298266624,Tech,Kinetic,Exhaustive Shot
3194102753525760,Melee,Energy,Melee Attack
2059728876208128,Ranged,Energy,Rocket Burst
2165797388550144,Ranged,Energy,Bulwark Burst
1582326081388544,Force,Kinetic,Backhand
2750398272110592,Tech,Kinetic,Jet Charge
2878860743933952,Melee,Energy,Backhand Smash
3445014742958080,Tech,Elemental,Flame Sweep
2509111304388608,Tech,Kinetic,Leaping Smash
2522455767777537,Tech,Internal,Shield Probe
2487353000067072,Force,Kinetic,Earth Shatter
3437799197900800,Force,Kinetic,Spear Toss
3684759817420800,Force,Kinetic,Decelerate Beam
1773800018411520,Tech,Energy,Anti Cover Grenade
3393522380046336,Ranged,Energy,Boltstorm
2776103651377152,Ranged,Energy,Ranged Attack
2854104552439808,Tech,Kinetic,Stockstrike
3300987309654016,Tech,Kinetic,Cracked Power Core
3569809312710656,Ranged,Energy,Deadeye Shot
3245732555391256,Force,Elemental,Expiatory Mote
3245732555390976,Force,Elemental,Expiatory Mote
1679250608357376,Force,Kinetic,Force Stun
3535453869309952,Tech,Energy,Orbital Multistrike
3555588675993600,Melee,Energy,Smash
2879127031906304,Tech,Elemental,Concussion Charge
1792152413667590,Tech,Elemental,Burning (Physical)
1957027618226176,Tech,Energy,Sabotage
3431305207349248,Melee,Energy,Headbutt
3428672392397076,Tech,Energy,Shocked
3428672392396800,Melee,Energy,Heavy Strike
1661490918588673,Tech,Energy,Shocked (Tech)
3014508696043520,Force,Elemental,Discharge
3724840452227072,Force,Energy,Call Lightning
3130468518068224,Tech,Energy,Overload
2522554552025088,Force,Energy,Ball Lightning Passive
3420615033749504,Force,Internal,Ravager Electro-Pulse Nova
2877735462502400,Tech,Elemental,Flurry
1520225149255936,Force,Energy,Single Focus
1520225149255938,Force,Energy,Broad Focus
2528000570556416,Ranged,Energy,Rifle Rush
2506517144142081,Tech,Internal,Poisoned (Physical)
3765226029711360,Tech,Kinetic,V-2 Seismic Grenade
3237301534588928,Force,Internal,Nightmare
3257784233623552,Tech,Energy,V-7 Electro-Stun Grenade
996200484438016,Melee,Energy,Zealous Strike
2695628849152263,Tech,Elemental,Burning (Physical)
3288016508420096,Melee,Energy,Melee Attack
3450701279657984,Tech,Energy,Random Blast
3340939095441408,Force,Internal,Force Distortion
962330372341760,Melee,Energy,Spike
2877258721132544,Tech,Kinetic,Baradium Explosive Pack
3575581748756480,Melee,Energy,Low Slash
2790809619398656,Force,Kinetic,Leap
3675121910808864,Tech,Elemental,Burning (Physical)
2520853744975872,Ranged,Energy,Ranged Attack
3460841697444169,Force,Elemental,Burning (Cauterize)
3460841697443840,Melee,Energy,Cauterize
2853249853947904,Ranged,Energy,Ranged Attack
3066602354376704,Melee,Energy,Dual Saber Throw
3765221734744064,Tech,Kinetic,V-1 Seismic Grenade
2455175105085440,Force,Kinetic,Forcequake
2810016713146368,Melee,Energy,Smash
3175840552583168,Tech,Energy,V-6 Electro-Stun Grenade
1792143823732998,Tech,Elemental,Burning (Physical)
3724398070595584,Force,Kinetic,Shield Rush
3770483069681664,Tech,Internal,Tranquilizer Dart
2293993572401152,Ranged,Energy,Rapid Shots
1011000941740032,Ranged,Energy,acklay_droid_ranged_huttaminingdroid
808308550140662,Force,Energy,Shock (Twin Surge)
808308550139904,Force,Energy,Shock
3014555940683776,Melee,Energy,Voltaic Slash
2816313135202304,Tech,Kinetic,Stockstrike
2879225816154112,Ranged,Energy,Salvo
3628925242572800,Force,Internal,Force Rend
3248064722632704,Ranged,Energy,Full Auto
2779655589330944,Melee,Energy,Frenzy
2075384032002048,Ranged,Energy,Burst
3131610979368960,Tech,Elemental,Flame Sweep
3157977783599104,Ranged,Energy,Ranged Attack
2498528504971566,Force,Energy,Crushing Darkness (Any)
3306042486161408,Tech,Energy,Pulse Beam
1392991038078976,Ranged,Energy,Laser Shot
2541469587996672,Tech,Kinetic,Jet Charge
2765847269474304,Ranged,Energy,Lasershot
998906313834496,Force,Kinetic,Backhand
2778891085152256,Tech,Elemental,Incinerator
2518444268322816,Force,Kinetic,Force Push
3655923406995456,Tech,Kinetic,Rocket Slam
3707381410169096,Tech,Internal,Bleeding (Physical)
3481921396932608,Tech,Kinetic,Micro Missiles
3385284632772608,Force,Kinetic,Ground Smash
3394939719254016,Ranged,Energy,Cull
3023416458215684,Force,Kinetic,Lifeforce Draining (Mental)
2510142096539648,Force,Internal,Bleed
2821230872756224,Ranged,Energy,Saturation Fire
3020942557052928,Force,Internal,Doom
3459828085161984,Ranged,Energy,Sanguinary Shot
2997268697317376,Ranged,Energy,Blindside
1792148118700294,Tech,Elemental,Burning (Physical)
2832028420538368,Tech,Kinetic,Explosive Round
2776107946344448,Ranged,Energy,Ranged Attack
2813852118941696,Melee,Energy,Assault
955230791401472,Force,Elemental,Unnatural Heat
3356748870057984,Melee,Energy,Unarmed Attack
2518096375971840,Ranged,Energy,Rifle Shot
3668052394639620,Force,Internal,Bleeding (Physical)
3668052394639360,Melee,Energy,Bite
3472652857507840,Melee,Energy,Melee Attack
3277661342269440,Melee,Energy,Slam
2730134616408064,Force,Energy,Wynz-Tek Rakata Cryo-Shock
2821187923083264,Ranged,Energy,Snipe
3286483205095424,Tech,Kinetic,Missile Barrage
3058411851743232,Melee,Energy,Frenzied Onslaught
3755824346300416,Tech,Kinetic,Cutting Swipe
2442943038226432,Ranged,Energy,Ranged Attack
3487062472785920,Melee,Kinetic,Crush
3256671837094460,Tech,Energy,Electrified
2045259131387904,Ranged,Energy,Missile Salvo
2307823367094272,Tech,Kinetic,Blaster Whip
2292443089207296,Tech,Energy,Anti-Personnel Blast
2879084082233344,Tech,Kinetic,Heatseeker Missiles
2626497055555584,Melee,Energy,Crush
3021672701493248,Melee,Energy,Voltaic Slash
3397628368781312,Melee,Energy,Melee Attack
2054802548719616,Ranged,Energy,Ranged Attack
3021599687049476,Force,Kinetic,Crushed
3021599687049216,Force,Kinetic,Pulverizing Darkness
3451830856056832,Melee,Energy,Force Charge
3317458509234176,Force,Energy,Overcharge Beam
3238293672034304,Tech,Kinetic,Missile Burst
2775420751577088,Melee,Energy,Ranged Attack
1523725547601920,Melee,Energy,Unarmed Attack
2822051211509760,Tech,Kinetic,Armed
3021032751366144,Force,Elemental,Vitality Extraction
3349047993696256,Force,Kinetic,Forcequake
2765696945619217,Tech,Kinetic,Shrapnel Wounds
2765696945618944,Tech,Kinetic,Explosive Shot
2849796700242184,Force,Elemental,Voracious Rot
2849796700241920,Force,Elemental,Voracious Rot
3238482650595328,Tech,Kinetic,Shrapnel Missiles
3420099637674269,God,God,Electrified Fence
3569427060621312,Ranged,Energy,Powered Charge
2848435195609088,Tech,Energy,Iso-5 Ion Cannon
2535924785217536,Melee,Energy,Strike
2510129211637760,Melee,Energy,Vicious Slash
2853997178257408,Ranged,Energy,Wrist Laser
3294098182111232,Force,Energy,Swelling Despair
2738286464335872,Force,None,Unlimited Power
882547059851264,Ranged,Energy,Full Auto
3022918242009088,Tech,Energy,Optical Array Discharge
811783178682368,Tech,Kinetic,Rocket Punch
2879148506742784,Tech,Kinetic,Mortar Volley
2810012418179072,Melee,Energy,Blast
2483972860805120,Ranged,Energy,Ranged Attack
1792139528765702,Tech,Elemental,Burning (Physical)
2777237522743296,Force,Kinetic,Brutalize
3590459515469824,Melee,Energy,Ground Quake
2315412574306561,Tech,Kinetic,Rigged
3280547560292352,Ranged,Energy,Power Shot
2199031845486592,Tech,Kinetic,Wrench Hit
3309529999605760,Melee,Energy,Leap
2730126026473472,Force,Energy,V-2 Rakata Freeze Bomb
3230352277504000,Melee,Energy,Frenzy Strikes
3234810453557248,Force,Elemental,Burning Force
2768952530829312,Tech,Energy,Energy Surge
2520939644322050,Force,Internal,Stunned
3066641009082368,Melee,Energy,Unarmed Attack
2483891256426496,Melee,Energy,Blade Sweep
2522202364706816,Ranged,Energy,Charged Burst
2777649839604003,Tech,Elemental,Incendiary Missile
2777649839604005,Tech,Elemental,Burning (Physical)
3287784580186112,Tech,Energy,Single Laser
1478632685961216,Force,Kinetic,Shockwave
2519290376880384,Tech,Internal,Bleeding (Physical)
2519290376880128,Melee,Energy,Rake
1660176658595840,Melee,Energy,Ataru Form
3342304895041799,Force,Internal,Mind Crushed (Force)
3265815822467072,Melee,Energy,Shock
3014534465847296,Force,Kinetic,Force Scream
808123866546176,Melee,Energy,Annihilate
3404173898940416,Tech,Energy,V-7 Electro-Stun Grenade
2466848826195968,Ranged,Energy,Rail Shot
2776125126213632,Melee,Energy,Assault
1137792671285248,Ranged,Energy,Head Laser Burst
2879049722494976,Melee,Energy,Strike
2730130321440768,Force,Energy,V-2 Rakata Freeze Bomb
2877482059431936,Melee,Energy,Bash
2878053290082304,Tech,Kinetic,Rocket Punch
2962397857841152,Tech,Elemental,Dynamic Target VFX - Agent
2821308182167552,Melee,Energy,Lunge
3311235101622272,Melee,Energy,Rail Volley
3774623418155008,Melee,Energy,Maul
2520935349354496,Melee,Energy,Melee Attack
2161562550796288,Tech,Kinetic,Heatseeker Missiles
2759348983955713,Tech,Internal,Poisoned (Physical)
3551551406735360,Melee,Energy,Force Charge
2508376864980992,Melee,Energy,Rending Swipe
2286284106104832,Tech,Energy,Ion Beam
3493272995495936,Melee,Energy,Master Strike
1342323308888064,Melee,Energy,Test Tooltips
3391645479337984,Ranged,Energy,Shotgun Attack
2301479700398080,Force,Internal,Death Field
3780640667336704,Ranged,Energy,Melee Attack
1465219503096073,Force,Internal,Anguish (Mental)
2508802066743296,Tech,Kinetic,Overwhelming Swipe
2857759569608704,Ranged,Energy,Ranged Attack
3445023332892672,Ranged,Energy,Rail Shot
2788911243853824,Ranged,Energy,Ranged Attack
2067150579695616,Tech,Kinetic,Punch
2996091876278272,Melee,Energy,Saber Strike
3511767124672512,Melee,Energy,Scratch
3238224952557568,Tech,Kinetic,Missile Barrage
813621424685056,Melee,Energy,Acklay Lieutenant
811813243453440,Melee,Energy,Impale Near Death
3598001478041600,Melee,Energy,Force Leap
2876696080416768,Tech,Elemental,Zap Attack
3301515590631424,Melee,Energy,Dread Charge
2765306103595298,Tech,None,Burning (Physical)
2765306103595302,Tech,None,Burning (Physical)
2750368207339777,Tech,Elemental,Heat Wave
2750368207339520,Tech,Elemental,Heat Blast
3025890359377920,Force,Kinetic,Slam
3066520749998354,Tech,Kinetic,Shoulder Cannon
2778332739403776,Tech,Kinetic,Unstable Energy
3459858149933056,Tech,Internal,Trample
2524294013779968,Ranged,Energy,Flurry of Bolts
880502655418368,Tech,Elemental,Heat Signature Round
3409336449630208,Melee,Energy,Warding Strike
2956127205588992,Tech,Elemental,Acid Spit
3400587601248256,Force,Internal,Force Leech
2730104551636992,Force,Energy,V-1 Rakata Freeze Bomb
2074336059982080,Force,Kinetic,Stunned
3261684063928320,Force,Kinetic,Missile Burst
3045853367369728,Melee,Energy,Melee Attack
3276737924301065,Tech,Internal,Project TG-5
3276737924301069,Tech,Internal,Project TG-5
1660193838465024,Melee,Energy,Massacre
2860413859397632,Force,Elemental,Sonic Paralysis
2852682918264832,Ranged,Energy,Ranged Attack
2741520574710023,Force,Kinetic,Firey Exhaust
2741520574710024,Tech,Kinetic,Cluster Bombs
2146006179250176,Ranged,Energy,Tow Cable
3323454283579392,Force,Kinetic,Overload
2466861711097856,Ranged,Energy,Velocity Round
813535525339136,Melee,Energy,Melee Attack
3286874047119360,Tech,Kinetic,Sweeping Slash
812861215473664,Force,Internal,Weaken Mind
3406488886312960,Force,Elemental,Floor Vents
970507990073344,Tech,Kinetic,grav_round
3394445798015233,Tech,Elemental,Burning
3394445798014976,Melee,Energy,Aerial Strike
2309206346563842,Force,Internal,Poisoned (Force)
2519019793940480,Ranged,Energy,Charged Blast
3724020113473536,Force,Kinetic,Shield Bash
2788468862222336,Melee,Energy,Hand slap
2442320267968512,Tech,Kinetic,Electric Blast
2462029872890112,Force,Energy,Shocked
3306308774133760,Melee,Energy,Strike
3361645132775692,Force,Kinetic,Project Impact
3361645132775700,Force,Kinetic,Energy Eruption
3361645132775802,Force,Kinetic,Energy Eruption
2464941860716544,Tech,Kinetic,Force Burst
3413210510131200,Force,Kinetic,Tumult
2750363912372481,Tech,Elemental,Incendiary Missile
2750363912372224,Tech,Elemental,Flame Burst
3759968989741056,Ranged,Energy,Ranged Attack
2789229071433728,Melee,Energy,Melee attack
808519003537693,Force,Energy,Lightning Strike (Forked Lightning)
808519003537694,Force,Energy,Chain Lightning (Forked Lightning)
808519003537695,Force,Energy,Lightning Flash (Forked Lightning)
808519003537702,Force,Energy,Lightning Bolt (Forked Lightning)
2789851841691648,Melee,Energy,Melee Attack
3214087236354317,Force,Kinetic,Knockdown
2877086922440704,Ranged,Energy,Ranged Attack
3040987169423360,Ranged,Energy,Charged Blast
1677919168495616,Ranged,Energy,Hail Of Bolts
2877241541263360,Ranged,Energy,Ranged Attack
3436394743595008,Melee,Energy,Low Slash
3598044427714816,Tech,Elemental,Burning
3598044427714560,Tech,Kinetic,Rocket Punch
3339985612701696,Melee,Energy,Claw
2750389682176285,Tech,Elemental,Incendiary Missile
2750389682176000,Tech,Kinetic,Jet Charge
3073732000088064,Melee,Energy,Melee Attack
1072109736427520,Force,Internal,Thundering Blast
1263330270380032,Melee,Energy,Zealous Leap
3552908616400896,Force,Elemental,Corrosive Phlegm
3223016473362432,Melee,Energy,Impulse Strike
3025619776438272,Force,Kinetic,Slam
2832337658183680,Ranged,Energy,Flurry of Bolts
3751061227569152,Ranged,Energy,Calibrated Shot
972243156861214,Tech,Internal,Poisoned (Physical)
972243156860928,Melee,Energy,Infectious Bite
3298818351169536,Melee,Energy,Melee Attack
3784686526529536,Melee,Energy,Force Leap
3238173412950016,Ranged,Energy,Hail Of Bolts
2264457082306560,Tech,Kinetic,Incendiary Grenade
3442107050098688,Tech,Kinetic,Grav Round
3012674745008128,Tech,Energy,Laser Blast
3053786171965699,Tech,Elemental,Burning (Physical)
3297924997971968,Tech,Kinetic,Forceful Slam
2853305688522752,Ranged,Energy,Ranged Attack
3012618910433280,Tech,Kinetic,Earthquake
2877417634922759,Tech,Internal,Rakghoul Virus (Physical)
2877417634922496,Tech,Internal,Viral Vial
2211508725481472,Tech,Internal,Charge for Victory
2061433978224640,Melee,Energy,Obliterate
3549889254391808,Force,Elemental,Soul Rift
3301524180566016,Force,Elemental,Dread Pool
3408709384404992,Tech,Kinetic,Jet Charge
3433190697992192,Tech,Kinetic,Double Pump Action
3025632661340160,Force,Kinetic,Slam
3391138673197056,Tech,Energy,Fire Mine
2879096967135489,Tech,Internal,Bleeding (Physical)
2879096967135232,Melee,Energy,Rupture
2778362804174848,Tech,Kinetic,Rigged Explosives
3014633250095104,Force,Elemental,Surging Chain
3152097973370880,Tech,Energy,Explosive Charge
2163224703139840,Ranged,Energy,Spread Fire
962240178028544,Melee,Energy,Spinning Strikes
1452252996829184,Force,Energy,Enraged
2174640726212608,Melee,Energy,Vengeful Strikes
2510008952553472,Ranged,Energy,Rifle Shot
2510154981441536,Melee,Energy,Force Leap
3445027627860226,Tech,Internal,Bleeding (Physical)
3445027627859968,Tech,Kinetic,Retractable Blade
2295144623636480,Tech,Elemental,Cryo Blast
2767968983318528,Force,Energy,Grapple
2535310604894208,Tech,Energy,Reactor Pulse
2491738161676288,Force,Energy,Force Vortex
2019515097415680,Melee,Energy,Maul
3367000956993536,Tech,Energy,Energy Surge
2523898876788736,Melee,Energy,Force Charge
1396349702504724,Force,Kinetic,Crushed (Force)
2853301393555456,Tech,Kinetic,Explosive Round
2269658287702016,Tech,Energy,Ion Cell
3286053708365824,Melee,Energy,Smash
2879251585957888,Ranged,Energy,Hammer Shot
2068318810800128,Tech,Kinetic,Thermal Grenade
1593385622175744,Tech,Elemental,Warship Missile Barrage
3598602773463040,Tech,Kinetic,Scattershot
3255761304027442,Tech,Energy,Huge Grenade
2741503394840576,Tech,Kinetic,Rigged Explosives
3749085542612992,Tech,Energy,Ion Cell
813475395796992,Melee,Energy,Melee Attack
2995387501641728,Ranged,Energy,Bullet Spray
3265811527499776,Force,Energy,Hate Pulse
3012713399713792,Tech,Elemental,Volatile Emission
3230468241620992,Tech,Kinetic,Thermal Grenade
2778388573978624,Tech,Elemental,Burning Oil
2879135621840896,Tech,Elemental,Rigidity Round
3122424044322816,Tech,Kinetic,Jet Charge
3025606891536384,Force,Kinetic,Slam
3353789637591040,Force,Kinetic,Infected Attack
